Job Title,Company,Location,Job Description
Accounts Executive,Singtel,Singapore,Perform monthly financial close processes by liaising with and verifying journal entries posted by Offshore Fin Ops team for Enterprise Sales (ES) and Business…
Telesales Executive,Singtel,Singapore,"Telesales sales achievement (Individual).
Achievement of sales target set by the company. i.e. SingtelTV GA (Contents, Broadband targets, Revenue and Churn rate…"
Service Delivery Manager,Singtel,Singapore,"The Cyber SDM acts as a trusted advisor for our customers, guiding them on their journey through the different stages of the service; onboarding, finetuning,…"
Associate Engineer,Singtel,Singapore,"Handled existing datacentre/exchange space & facility management, including but not limited to DC/AC power system, structure of the room, common room facility…"
Senior Engineering Officer,Singtel,Singapore,Co-ordinate closely with INOC (Integrated Network Operation Centre) on the timely fault clearing and service restoration of access and transmission equipment in…
Sales Operations Executive,Singtel,Singapore,"Hire Type : 6 months contracts under recruitment agency payroll.
The primary purpose of the position is to support the Sales Operations Department."
"Engineer, BCM",Singtel,Singapore,"Maintain proper documentation of Networks Group Business Continuity Management (BCM) Policy & Guidelines, Networks Group BCM Plan, Risk Analysis & Business…"
Credit Management Officer,Singtel,Singapore,"Daily Clearance of cheque received from customer and return from Bank.
Daily Reconciliation of payment file and bill payment stub."
Data Analyst,Singtel,Singapore,You will be responsible for the data analytics and system end-to-end process within the Supply Chain Management (SCM).
"Engineer, Facilities Engineering",Singtel,Singapore,Responsible for the delivery of efficient and cost-effective facility management and to SingTel’s property portfolio.
Account Manager,Singtel,Singapore,"To manage, create sales in a set given large local brand name customers to grow sales revenue, foster and build good CXO level customer relationship and…"
Engineering Officer,Singtel,Singapore,"Incharge of day to day operation and maintenance of 3G/4G/5G base stations and repeater systems.
Have an analytical mind, fast response and dedication to…"
Project Coordinator (Workplace Fitout),Singtel,Singapore,"Prepare draft Service Orders and Service Entries to ensure timely management’s approval of these documents.
Liaise with other departments, e.g., Finance and HR…"
#SGUnitedTraineeships (SGUT) - Systems Engineer,Singtel Group,Singapore,"This position works with various stakeholders and is responsible for more technical and in-depth deployment, troubleshooting, maintenance, upgrade and support…"
Solutions Manager,Singtel,Singapore,The primary responsibility of the Solutions Manager is to provide Pre-Sales Technical Solutions to support Singtel business in Singapore.
Contract Manager (Network Procurement),Singtel,Singapore,The Legal Contracts Manager reporting into Group Network Procurement works closely with both the Procurement Managers as well as the internal stakeholders from…
Outdoor Sales Executive,Singtel,Singapore,"Engage and interact with customers face to face.
Arrive at sales events on time to engage with customers.
Liaise with customers on pre and post sales for Mio TV…"
Project Manager,Singtel,Singapore,"Take care of both engineering planning and operation for the pipeline construction, cable diversion and circuit migration activities."
Accounts Executive (Agency Contract),Singtel,Singapore,"Assist finance manager in management reports preparation.
To perform basic analysis on financial reports.
To ensure fixed assets are capitalised in accordance…"
Product Manager,Singtel,Singapore,"Responsible for providing strategic direction, product feature prioritization, and tactical execution, while working closely with customers."
Data Centre Infrastructure Engineer,Singtel,Singapore,"Plan and manage multiple engineering projects from conceptual to handover, within budget, deliver on time, safety compliance and with quality."
RPA Consultant,Singtel,Singapore,"Responsible to deliver Robotic Process Automation (RPA) by designing RPA process workflow, programming RPA software, ensuring quality assurance of RPA codes and…"
"Associate Engineer, Headend",Singtel,Singapore,"Support mission critical Singtel TV 24x7 Headend operations for Singtel TV, TV GO, CAST, Singtel Business TV, Optus Sport and Cross-carriage content."
Technical Specialist,Singtel,Singapore,"Handle 24x7 escalations from the Operations team and provisioning team on corporate IP network.
Responsible for troubleshooting and timely resolution of faults…"
Digital Sales Executive,Singtel,Singapore,"Telesales sales achievement (Individual).
Achievement of sales target set by the company. i.e. Mobile New and Recontract, Fibre and SingtelTV GA (Contents,…"
Cable Station Manager,Singtel,Singapore,The Cable Station Manager is responsible to oversee the operation of submarine cable landing stations and the submarine cable system equipment that are located…
Senior Associate Engineer,Singtel,Singapore,Supervise and oversee the Managing Agent in the provision of property management services to SingTel premises and tenanted space.
Senior Associate Engineer,Singtel,Singapore,Supervise and oversee the Managing Agent in the provision of property management services to SingTel premises and tenanted space.
"Manager, Major Incident Management",Singtel,Singapore,"Command Centre (incident managers, incident coordinators) working with Shift Operation Manager in coordination of end-to-end incident management, ensuring that…"
Data Centre Associate Engineer,Singtel,Singapore,"Perform shift duty to support 24x7 DC Operations or be on 24x7x365 stand-by duties for emergency.
Perform Incident escalation (Ensure incidents are responded…"
Cybersecurity&Incident Response Analyst,Singtel,Singapore,"Responsible for the daily real time monitoring and analysis of security events /threats from multiple sources.
Determine cause and extent of breach."
Talent Acquisition Manager,Singtel,Singapore,"Manage the end-to-end recruitment process, including contact with hiring leaders, screening & selection, interviews (in-person, phone and video), offer proposal…"
Software Developer,Singtel,Singapore,Bring in your experience in building scalable and repeatable platforms to make every component of the platform modular by design with industry grade security.
RPA Developer,Singtel,Singapore,"The RPA developer is a member of the People Technology Team responsible for the creation, design, development, and implementation of RPA systems."
Sales Specialist,Singtel,Singapore,"To grow the business through new acquisitions, win-back of competitor accounts, and expanding customer expenditure through upselling of services."
Regulatory Operations Executive (Agency Contract),Singtel,Singapore,"Analysing new and existing customers’ profiles and transactions in the relevant sanctions, money laundering (ML) and terrorism financing (TF);"
Credit Management Executive,Singtel,Singapore,"Manage a small business process outsourcing (BPO) team from India.
Attend Customer meetings to resolve issues.
Prepare Operation and management report."
"Team Head, Channel Sales and Development",Singtel,Singapore,Develop a competent and result-oriented channel sales team to achieve company’s financial objectives in Billable Revenue (BR) and Contract Value (CV).
Senior Account Support Executive,Singtel,Singapore,"To support the Account Managers and Directors (Sales Team) in managing the accounts assigned, handling customers’ enquiries, escalations, and sales activities."
Tender Manager,Singtel,Singapore,"Support maintenance, changes and enhancement of end-to-end tender process and all corresponding documentation in line with Procurement policy requirement and…"
"Manager, PMO",Singtel,Singapore,"Facilitate strategic alignment of projects and initiatives in Group IT.
Setup and standardize project initiation, selection and prioritization governance and…"
Product Manager (Cloud & Voice Service),Singtel,Singapore,"Develop product features, pricing plan, and business processes for new services.
Engage partners and work with Engineering, IS and Operations on the development…"
Planning Manager,Singtel,Singapore,"Lead in the planning and project management of new or existing mobile core network, including technology selection, capacity planning, service rollout and…"
Product Manager - Managed Services,Singtel,Singapore,This position is responsible for developing and managing the Managed Service for Singapore domestic businesses as well as the regional market.
Credit Management Officer (Agency Contract),Singtel,Singapore,"Daily newspaper cutting for Liquidations.
Perform credit reviews and follow up on accounts of bankrupt customers to minimise debt exposure."
"Associate Director, Corporate Facilities",Singtel,Singapore,"Oversee external service providers to ensure a consistent level of service standard, including carrying out periodic audits to maintain a low fault rate and…"
Assistant General Counsel (M&A),Singtel,Singapore,Singtel is looking for a Senior Legal Counsel / Assistant General counsel to provides legal advice and support to Singtel Group’s transactional M&A activities…
Talent Acquisition Associate (Fixed Term Contract),Singtel Group,Singapore,"To support the end-to-end recruitment support – pipeline development and onboarding for recruitment.
Update the dashboard of respective business units assigned…"
Program Support Executive,Singtel,Singapore,This role requires the candidate to possess effective communication qualities with the ability to be able to implement and manage the new working model and any…
"Manager, OSS Devt",Singtel,Singapore,"Responsible for planning, implementation, and operations of the Operations Support Systems (OSS) solutions: service assurance (fault, performance, and service…"
Service Operations Engineer,Singtel,Singapore,The role of the Service Operations Engineer is to ensure the operations and maintenance of the Mobile Value-Added Service (VAS) system meets the required…
Manager,Singtel,Singapore,"Planning and project management of new or existing mobile payment services, including technology selection, capacity planning, service rollout and service…"
System Planning Manager (ISP),Singtel,Singapore,"Manage day-to-day operational aspects of a project and scope including manages project budget (CAPEX), conducts periodic project reviews, monitors receivables."
Product Manager_Agency Contract,Singtel,Singapore,"Product Manager is responsible for product planning, development and user experience throughout the product lifecycle."
Business Analyst,Singtel,Singapore,This role requires the individual to determine requirements and deliver data-driven recommendations and reports to executives.
Business Development Manager,Singtel,Singapore,"Business Development Manager for Roaming Wholesale (B2B Sales).
Devise strategies and plans for wholesales roaming business.
Bachelor’s degree in any field."
"Senior Associate Engineer, Broadcast Engineering",Singtel,Singapore,"Support Engineer for the Singtel TV broadcast systems.
Work closely with the broadcast support and operations teams; and external parties in problem…"
Creative Project Management Manager (Agency contract),Singtel,Singapore,"Create, optimize, and govern workflow and processes for Consumer Marketing Communications - from cross sell team, performance marketing team, GTM team to…"
Technology and Solution Specialist,Singtel,Singapore,"Driving local and relevant Technology and Solutions across SME business segment.
Sales experience in selling Technology solutions including Networking, Servers…"
Product Manager (Commercial),Singtel,Singapore,"Responsible for product performance and profitability for cloud connectivity services (AWS, Azure, GCP etc) and software defined network offering."
Internal Audit Manager,Singtel,Singapore,"The Audit Manager is a single contributor who has the responsibility for planning, engaging and driving critical and complex internal audit projects and…"
"Associate, Corporate Transformation (Accounting Background)",Singtel,Singapore,"The RPA developer supports senior RPA developers/Director in development, and implementation of RPA systems, script and deliver approved solutions for…"
"Engineer, Mobile Engineering & Ops",Singtel,Singapore,"Plan, design and execute project plans.
Gather functional requirements, develop technical specifications and define project scope."
Wireless Specialist,Singtel,Singapore,"Plan, design, install, test & implement systems in accordance to specifications & service level.
Where relevant, perform the necessary system programming &…"
"Team Head, Account Management",Singtel,Singapore,"Manage and create sales, together with team members, in SME Mid-market segment to grow sales revenue.
Foster and build good CXO level customer relationship and…"
"Project Manager, Mobile Network Access",Singtel,Singapore,"Reporting to the Director, Mobile Network Access, you will lead a team of Associate Engineers to manage Singtel Mobile’s Radio Access Network (RAN) site…"
"Manager, Radio Network Quality",Singtel,Singapore,"Administration of the radio automation modules (3G/4G/5G).
Main liaison with internal and external stakeholders (eg: Analytic, network intelligence tool vendors…"
"Manager, Business System support",Singtel,Singapore,The individual is a member of a support unit that work closely with IT and vendors in improving and managing the performance of systems that customer serving…
Threat Intelligence Analyst,Singtel,Singapore,"Monitor and analyse threat intelligence from open and commercial sources for attack campaigns, new vulnerabilities, IOCs and threat actor groups and their TTPs."
"Senior Manager, Third Party Risk Management",Singtel,Singapore,"The position will be part of the Group Governance & Compliance (GGC) team within Group Cyber Resilience (GCR).
Aging report of risk closure."
"Executive, Digital Platform",Singtel,Singapore,"Liaise with cross functional team to gather project requirement and create user story.
Drive Sprint’s Cadences which include Daily stand up, Grooming session…"
Network Specialist,Singtel,Singapore,"Responsible for managing Critical internal infrastructure which involves Routers, Switches, Firewalls, Load-balancers, servers, virtualization, security tools."
Internal Audit Manager - F&O,Singtel,Singapore,The Internal Audit Manager is responsible to perform risk-based assurance reviews and internal control advisory activities for Singtel Group.
Marcom Executive (Agency contract),Singtel,Singapore,"Develop, enhance, and execute programs to connect our customers and drive revenue across platforms, on both online and offline environment, for core Singtel…"
Senior Customer Care Officer (Home Premium Services),Singtel,Singapore,"Awarded at the HR Fest Awards 2020.
Objective: Interacts with customers through phone to provide effective service to every customer by building a personal…"
Data and Process Analyst,Singtel,Singapore,"Establish new and review existing processes, driving changes to optimise business processes.
Identify opportunities for process optimisation & automation to…"
"Engineer, Broadband & SingNet Operations",Singtel,Singapore,"Responsible for Change, incident, and problem management and ownership from technical aspect.
Take lead in handling complex issue and chronic problem, identify…"
Legal Counsel,Singtel,Singapore,"The Legal counsel reports to Assistant General Counsel Singtel Legal & Director Corporate Functions, SG Data Centre Company to provide legal support to SG Data…"
Channel Sales Manager,Singtel,Singapore,"This is a Sales Business Manager role targeting the Maritime market for both Singapore and overseas accounts.
Drive promotions and update sales tools."
Machine Learning Engineer,Singtel,Singapore,Develop optimal engineering solution for automating and monitoring production grade machine learning and data-driven initiatives; supporting Batch and Real-time…
"Director, Network Operations (130874)",Singtel,Singapore,The Director for Network & Security Operations will provide the necessary leadership and direction to deliver reliable and quality network and security services…
Digital Support Team Lead (Cust Care),Singtel,Singapore,"Strong supervisory, performance management and workforce planning skills.
Problem solving/conflict resolution skills, i.e. able to understand and resolve issues…"
Experience Design Manager,Singtel,Singapore,"Specifically, they will have a passion for driving customer-centric thinking and are seasoned practitioners in designing User Experience (UX) across channels…"
#EG Software Engineer (Java/J2EE),Singtel Group,Singapore,"The Software Engineer is responsible to gather, analyses and formalize user’s business requirements and processes, evaluate on feasibility of implementation and…"
HRIS Manager (Employee Central & Data Management),Singtel,Singapore,"Awarded at the HR Fest Awards 2020.
The HRIS Manager, Employee Central (EC) & Data Management is responsible for the completeness, accuracy and timeliness of…"
"Associate Consultant, Systems",Singtel,Singapore,"This role is responsible for managing day to day support of operational tasks, requests, incidents and changes meeting customer’s requirements and Service Level…"
Sharepoint Developer,Singtel Group,Singapore,"Gather, analyse and formalise user’s business requirements and processes, evaluate on feasibility of implementation and manage scope of project."
Contracts Manager (IT Procurement),Singtel,Singapore,The Contracts Manager reporting into IT Procurement is required to work closely with both the Procurement Category Managers as well as the internal stakeholders…
Satellite Operations Manager,Singtel,Singapore,"Lead team of specialists at Satellite Command and Control Centre.
Perform satellite flight operations planning and satellite manoeuvres."
Service Migration Engineering Officer,Singtel Group,Singapore,"Fiber cable preparation, patching, splicing and migration work.
Perform night cable migration work.
NITEC or Higher NITEC in Engineering, Information Technology…"
Security Planning Manager,Singtel,Singapore,Manage infrastructure security deployment projects involving centralised security solutions such as SIEM /VDI/PIAM/SOAR/MFA/FW Automation/VPN/IPS/VA/EDR/NDR…
"Manager, Product Development",Singtel,Singapore,Grow payment capabilities and cross-network merchant acceptance by leveraging on dominant payment schemes and exploring new schemes; such as but not limited to…
Assistant General Counsel (Litigation),Singtel,Singapore,"To provide legal direction and support, in particular litigation management, to various business units within the Singtel group of companies in Singapore and…"
"Senior Consultant, Systems",Singtel,Singapore,"Respond promptly to incident, investigate & provide temporary &/or permanent resolution of incidents escalated.
Ensure service level meet requirement."
Senior Software Engineer,Singtel,Singapore,The successful candidate is one who has deep understanding the architecture and design of the 5G business services platform and contribute on the customer…
"Lead, IT BP, Business Portfolio Mgt",Singtel,Singapore,The role requires extensive engagement with senior management and hence strong negotiation and influencing skills are a must.
"Associate Engineer, Cpaas Products (1 Year Agency Contract)",Singtel,Singapore,"Provisioning of Cpaas related products which include integration of telephony, mobile services with Microsoft Teams, Mobile Interactive Voice Response (MIVR),…"
"Associate Director, Group Risk Management (anti-bribery and...",Singtel,Singapore,"Leading the initiatives in developing and establishing a ‘fit for purpose’ compliance programme framework for the Group, and drive implementation across the…"
"Director, Group Strategic Communications",Singtel,Singapore,"The incumbent will be tasked to lead the company’s communications efforts.
He/ she should demonstrate the ability to drive positive media coverage, manage media…"
"Engineer, Service Delivery (Direct Contract)",Singtel,Singapore,The Service Delivery Engineer is responsible for service provider Network migration projects by working closely with Transport/Network Engineering team.
"Lead Consultant, Systems",Singtel,Singapore,"The System Lead is responsible for managing day to day support of operational tasks for teams under his/her charge and includes requests, incidents,…"
Senior Customer Relationship Executive,Singtel,Singapore,"Translate the company’s service vision, corporate objectives and core values into handling plan for each customer."
System Planning Manager (SD WAN),Singtel,Singapore,"Systems Planning Manager for managed SD-WAN platform.
Support the design and build of headend infrastructure.
Work with support teams and pre-sales."
Contract Manager (Group Enterprise),Singtel,Singapore,"Prepare, negotiate and advise on all aspects of enterprise customer / supplier / partnership contracts as well as the Company’s standard terms."
Senior Delivery Manager,Singtel,Singapore,"Build-Run teams are created per problem domain and continuously deliver value in the form of larger products, incremental enhancements, or fix and maintainence…"
"Head, Group Internal Audit, NCS",Singtel,Singapore,"Group Internal Audit is part of the corporate governance structure of Singtel Group, reporting functionally to the Singtel Audit Committee and administratively…"
"Legal Counsel (Network, IT, Property)",Singtel,Singapore,"Draft, review and negotiate a wide variety of contracts with particular focus on IT, mobile networks, and property related transactions."
Finance Executive,Singtel,Singapore,"Participate in systems implementation for new business entities.
Assist to carve out historical financial information relevant to the new business and support…"
Customer Lifecycle Management Manager,Singtel,Singapore,"Increase customers’ product holdings and in-base penetration of Financial & Lifestyle services.
Leverage on data analytics to conceptualize and design targeted…"
Financial Systems Associate/Manager,Singtel,Singapore,"Maintain SAP master data for Cost Centres, Profit Centres and Internal Orders.
Support month end closing activities/issues including various system interface."
Transmission Operations Engineering Officer,Singtel Group,Singapore,"Fault clearing and service restoration of access and transmission equipment.
Troubleshoot fault related to access and transmission equipment."
"Product Manager, Digital Platform",Singtel,Singapore,"Understand the business strategy, goals, and initiatives.
Understand the customers’ needs and experience, and continually test your assumptions."
"Manager, Group Risk Management ( Risk Strategy & Assurance)",Singtel,Singapore,The Risk Strategy & Assurance pillar is mandated to assist Singtel in accomplishing its business objectives by adopting a systematic and disciplined approach to…
"Associate Engineer, Mobile Network Access",Singtel,Singapore,"Meet Building Owners (BO) to understand their change requests related to mobile site, assess the impact and jointly agree on the scope of work."
Test Environment Delivery Manager,Singtel,Singapore,"We are looking for DevOps kind of profile who will manage the Test Environments in cloud.
This role is for the Corporate Systems & Services - Test Management…"
Manager (RPA Consultant),Singtel,Singapore,"As part of Networks, Singtel the sole purpose of this role is to improve and transform business performance through automation methodologies like RPA."
"Manager, Group Risk Management (Business Continuity Manageme...",Singtel,Singapore,"Being part of the Singtel Group Risk Management (GRM), the role provides support to the development and advisory of Business Continuity Management to Business…"
Test Manager (Automation),Singtel,Singapore,The Test Manager - Automation is responsible for the delivery of automation and test tools testing services across all Singtel based TMO project engagements.
"Senior Manager, Service Management",Singtel,Singapore,"The Service Delivery Manager will act as the SPOC, for Customer engagement on service delivery matters, and will be part of the Client Delivery Engagement,…"
Workplace Fitout Project Manager,Singtel,Singapore,"Deliver a high quality, well-designed and productive workplace for staff based in Singapore and overseas.
Work with designers and contractors to plan, design…"
Network Operation Centre Manager,Singtel,Singapore,"Plan, manage and oversee the day-to-day NOC operation across 2 sites to provide (24 x 7) round the clock network monitoring for Mobile, Broadband, TV, Fixed…"
#Market Maker,Singtel Group,Central Business District,"You will manage large scale deals from pitch to closure.
Deal Strategist: lead Opportunity Origination, Win Strategies, Price to Win sessions, Black Hat reviews…"
"Director, Data Solutions",Singtel,Singapore,The purpose of this role is responsible to manage Singtel Data Solutions team comprise of internal IT staff and several IT service providers to deliver Business…
"Manager, Internal Communications",Singtel,Singapore,"Develop and drive communications that engage and inspire employees around the company’s mission, principles, and strategy."
Delivery Manager,Singtel,Singapore,"Establish baseline and control project scope from inception to closure.
This includes managing the requirements gathering phase, solution design phase and…"
"Consultant, Network",Singtel,Singapore,"24 by 7 Tier 2 technical support team for Software Define WAN, Network Function Virtualization, Cisco Router Network, Juniper Router Network."
Pricing Manager,Singtel,Singapore,"The B2B pricing manager is responsible to support the business in achieving the revenue target in the SME market.
Perform pricing evaluation of potential deals."
"Associate Director, 5G Enterprise Edge (#5G)",Singtel,Singapore,This is a newly created role and the successful candidate will be responsible for the overall aspects of Product and Program Management for the 5G Enterprise…
"Manager, Group Strategic Communications",Singtel,Singapore,"The ideal candidate should have a passion for storytelling and writing, and preferably have a good understanding of the telecom, media and technology industries…"
"Lead Consultant, Network",Singtel,Singapore,"Analyze technical needs, requirements, and state of the network’s infrastructure design, integration, and operations."
Software Engineer,Singtel,Singapore,"Design, develop and maintain enterprise grade, highly scalable and high performing software solutions that meet both functional and technical requirements…"
"Operations Manager, Corporate Mobile Ops",Singtel,Singapore,"Lead a team of CSE to manage daily operations in the aspect of people, process, system, service quality, customer experience, resources optimization, cost…"
Global Account Manager,Singtel,Singapore,"Foster and build good customer relationship at all levels for revenue growth and customer retention.
Work with Solution Manager & Sales Specialists to propose…"
e-Commerce Marketing Manager,Singtel,Singapore,"Develop marketing plan for the Digital Sales channel to maximise sales.
Work with IT to leverage on SEM, SEO and affiliate marketing to drive qualified traffic…"
"Manager, Threat Prevention - SOC",Singtel,Singapore,"Delivery of network and cloud-based security services including but not limited to Managed Next Gen Firewall (NGFW), Distributed Denial of Service (DDoS), Web…"
Product Manager (CPaaS Messaging),Singtel,Singapore,"Responsible for the product management of the Communication Platform As A Service (CPaaS), a platform that support enterprise customers to integrate real-time…"
Associate Product Owner,Singtel,Singapore,"As an Associate Product Owner, you will report to the Senior Product Owner and drive the execution of the vision & strategy for the digital mobile app, portals…"
"Manager, Corporate Facilities",Singtel,Singapore,"Review and familiarized with all M&E related project design, contract documentation, contractor submission, procurement documents, tender package, show drawings…"
Lead Security Consultant,Singtel,Singapore,"This role is to provide support to Singtel ASOC Infrastructure, and assist the Managed Security Devices (MSD) Delivery Teams with customer delivery."
Network Planning Manager,Singtel,Singapore,"Design, plan and setup/expand new/existing SingTel Private IPVPN / MPLS network, and Global Internet Network.
This will include ensuring that design conforms to…"
