Job Title,Company,Location,Job Description
Software Engineer/Programmer (LabVIEW/Dot NET) – ALL WELCOME!!,SEARCH PERSONNEL PRIVATE LIMITED,Tampines,"
Position : Software Engineer/Programmer (LabVIEW/Dot NET) – ALL WELCOME!!
Location : Ang Mo Kio
Working hours : 5 Days Work Week – Monday to Friday: 8.00AM to 5.30PM
Salary (commensurate with experience) : Up to $4,500 + Performance Bonus + 14 Days AL
Duration : Perm 
Industry : Semiconductors And Microelectronics

Responsibilities:

Design and develop custom software application & automated equipment for in-house needs.
Manage assigned projects, from conceptualization to implementation.
Prepare project documentation, including tracking of revision changes.

Requirements:

Diploma/Degree in Computer Science / IT or equivalent
2 years, preferably with vision programming or motion control experiences
Proficient in LabVIEW 
Good knowledge of Dot NET programming (VB, C#, C++) & Database programming
Understanding of hardware/circuit design

Email to: ******@searchpersonnel.com.sg
Do visit www.facebook.com/search.personnel for more job listings.
***We do not charge our candidates any referral fee nor bind them with any contract***
Jeslyn Tan
Executive Consultant
Reg No.: R21101247 | EA No.: 13C6684"
Wire-Cut/EDM Machine Operator/Programmer,AGK TECHNOLOGY PTE. LTD.,Ang Mo Kio,"AGK Technology Pte Ltd, is a precision engineering manufacturer and keychain supplier for industries relating to semiconductor, pharmaceutical, automotive and so on. 
We are well established in the local industry and is relatively well-equiped with facility located in Ang Mo Kio TechPlace I.
We are looking for motivated individual to join us as:-
Wire-Cut/EDM Machine Operator/Programmer
Description & Responsibilities

Participate in maintenance and manufacturing activities with their daily task in the factory
Operate Wire-Cut/EDM machines and/or other work in relation to completing the department process
Possess good planning, organizing and interpersonal skills
On-job training/Work processs/ethics/culture will be guided
Possess strong independence with minimum supervising/guidance 
Undertake any other duties as assigned by superiors responsibly

Experience: 
2 to 3 years of relevant experience is required
Knowledge of AutoCAD required
Experience in semiconductor/manufacturing industry is an advantage"
SOFTWARE ENGINEER,FRONTIER E-HR PTE LTD,Paya Lebar,"We are looking for a highly motivated individual to support the growth of our company sales. We have a clan-like culture with a focus on mentoring, developing individuals and at the same time an appetite for making dynamic and innovative push. We offer great career opportunities and a path to develop your full potential to contribute and grow with our company.
Responsibilities :

Perform software planning, design, development and testing according to the software specification, such as database, coding design, unit test.
Able to work with the frontline people to study the requirements and propose solutions.
Documentations (such as functional design and database schema).
Ability to troubleshoot and rectify the issues

At least a diploma in Computer Science, Software Engineering or any related fields with 1 year commercial experience in:

ASP.NET, VB.NET, C#, Web API.
MS SQL Server.
XML/XSL
Javascript, HTML5, CSS3, jquery
Posses mobile apps development skills will be advantage
Strong in analytical skills and problem solving
Ability to work independently with minimal supervision.
"
CNC Milling Programmer,Grand Team Technologies Pte Ltd,Serangoon,"Job Description
Specialist needs to perform and operate CNC machines to manufacture precision components and parts. To accomplish this, the machine specialist will need to interpret drawing, sketches, manuals and specifications to determine dimensions and tolerances of finished work pieces, set-up requirements. Critical aspect of the job involves detecting faults and making adjustments on machines to ensure that they operate smoothly; and being able to select, align and secure by holding fixtures, accessories and materials. Being able to work effectively, productive in a team would be beneficial for this role.
1. Carrying out CNC machining with tooling system 3R/ Erowa
2. Carry out CNC machining and programming
3. Conducting maintenance of machines
Roles and Responsibilities
1. Define technical specification and blueprints
2. Use approved methods of machining in manufacturing effectively and productive
3. Perform CNC machine operations and CADCAM programming
4. Handle tooling system 3R/ Erowa devices and equipment
5. Carry out dimensional and 2D/ 3D geometric measurements
6. Conduct routine maintenance of machines and tools
7. Spot hazards and uphold risk control measures
8. Carry out working environmental clean practices
9. Carry out Workplace Safety and Health (WSH) policy
10. 5.5 day work week
Requirements
Ability to read and interpret engineering (AUTOCAD) or 3D drawings will be an added advantage.
1. Diploma or equivalent of certificate or Higher Nitec in precision engineering
2. Min 3 year working experience in relevant field
3. Industry Proficient in 2D/3D dimensional programming, geometric measurements and CMM
4. Resourceful and adaptive to work requirements
5. A problem solver and a passion organized team player with good communication skills
SKILLS
Maintenance, Manufacturing Engineering, Lean Manufacturing, Continuous Improvement, Solidworks, CNC Mill, Production, Mastercam, Milling, Machining, CNC Machine, Specifications, CNC Manufacturing, CAD/CAM, CNC Operation, CNC programmes, CNC Programming, CMM"
SOFTWARE PROGRAMMER,TNO SYSTEMS PTE. LTD.,Kampong Ubi,"We are looking for talented individuals to join our R&D Team as SOFTWARE PROGRAMMER to design, code and develop Globe3 ERP with objective of creating a world-class system and creating great UX software experience for business users.
RESPONSIBILITIES:

To develop and design business applications and modules for mobile web-based Globe3 Enterprise Resource Planning (ERP) software comprising of Accounting, Enterprise Project, Supply Chain Management, Manufacturing, Servicing, Leasing, CRM & HR / Payroll features.
Developer/Programmer will work with experienced and dedicated team members to develop and design mobile web-based business solutions based on customer requirements and business analysts' inputs

REQUIREMENTS:

Candidate must possess at least a Diploma in Computer Science/Information Technology, Engineering (Computer/Telecommunication) or equivalent.
Required skill(s) at least a few combination of them: JQUERY, Javascript, JSON, Android, iOS, ReactNative, HTML, Lucee.
Able to display skills and capability working as part of software development team
Background working in software development company is an advantage; minimum 1-year working experience
Must have relevant skills and work ethics, with earnest attention to details
Must have good English communication skills
2 Full-Time position(s) available.

COMPANY OVERVIEW
TNO Systems is a leading provider of integrated software solutions for Enterprise Resource Planning (ERP) with its state-of-the-art 'Globe3' ERP suite of applications. Using web-based technology, they have deployed end-to-end technology solutions to both multi-national companies as well as local enterprises in the region. As a locally-based firm, all the solutions are developed by the in-house R&D team with emphasis on local business requirements.
Currently the ERP solution, Globe3 has been implemented to over 500-plus companies that range from small to multi-national companies that span over different geographical locations. They currently have offices in Malaysia, Vietnam and Hong Kong assisting in implementing and developing the system.
Our vision is to provide end-to-end solution that will empower the businesses to grow by providing a tailored, integrated and dependable business critical ERP system."
Programmer ( 5 days week / Up to $3300),The Supreme HR,Novena,"

5 days week (Mon - Fri ) 9.20am to 6.30pm
Basic Salary $2,200.00 - $3,300 per month (negotiable) 13th month AWS
Kim Keat Rd (Novena)

Job Scope :


Maintain and enhance existing and new software systems
Participate in designing architecture of new software system
Conduct software testing including bug testing, vulnerability testing
Troubleshoot and support for existing system
Remotely support software running on customer's machine
Learn and develop hybrid mobile apps using ionic framework



Job Requirements:
Candidate must possess at least Diploma in Computer Science/Information Technology
Experience in the following preferred :
- Database design, application design, web security
- Using NodeJs, apache/NGINX
- CodeIgnitor Framework (or other PHP Framework)
- Developing eCommerce System
- Knowledge in Hybrid Mobile App Development (ionic framework preferred)
Programming Language: JQuery, AJAX, MySQL/MariaDB, PHP, HTML, CSS, Typescript
WhatsApp: https://wa.me/ 
No: RC7279

"
Programmer【5 days/ $2200-$3300/ Novena】,The Supreme Hr,Novena,"

Job Scope :
Maintain and enhance existing and new software systems
Participate in designing architecture of new software system
Conduct software testing including bug testing, vulnerability testing
Troubleshoot and support for existing system
Remotely support software running on customer's machine
Learn and develop hybrid mobile apps using ionic framework


Job Requirements:
Candidate must possess at least Diploma in Computer Science/Information Technology
Experience in the following preferred :
- Database design, application design, web security
- Using NodeJs, apache/NGINX
- CodeIgnitor Framework (or other PHP Framework)
- Developing eCommerce System
- Knowledge in Hybrid Mobile App Development (ionic framework preferred)
Programming Language: JQuery, AJAX, MySQL/MariaDB, PHP, HTML, CSS, Typescript
If you are interested to apply, kindly WhatsApp me your updated resume in DOC file and allow our Consultant to match you with our Clients.Whatsapp: +Reg No: R2197912EA No: 14C7279

"
CNC PROGRAMMER,UNITE PRECISION ENGINEERING PTE. LTD.,Ang Mo Kio,"Able to operate machines. Fabricating of machine component. (Turning/Milling)
Able to operate machine independently
Good understanding of technical drawings
Knowledge to use measuring equipment. Eg: Vernier Caliper & Micrometer
Able to perform shift work
Working Hour: 8:30am to 5:15pm
Alternate Saturday off/ Permanent Sunday off"
Analyst Programmer/Senior Solution Analyst Programmer,Bridge Mobile Pte Ltd,Bedok,"Overview
To analyse, design, develop, test, deploy, maintain and enhance any in-house applications, and integrate with external systems, so that Bridge Alliance could meet its management and stakeholders’ business objectives.
Key Responsibilities

Analysing user requirements from business objectives and convert them in to technical design specifications throughout the development process (SDLC, Agile).
Design the technical architecture of the application required (front-end (WEB, Logi Analytics BI), back-end (SQL Server database), and ETL(SSIS)).
Develop and Version Control of the developed application source files
System Integration Testing and Unit Testing for all developed applications and performance tuning of database queries to provide an overall quality application.
Diagnose defects in applications and fix problems
Provide knowledge sharing, technical assistance and testing application developed by external vendors
Provide Production support and maintenance for in-house and vendor developed applications.
Deployment of developed applications and assist Operations team.
Develop new enhancement requests and integrate them into existing software architecture.
Assist all Bridge Departments and implement in any other ad-hoc development requirements raised through Service Requests

Key Job Requirements
Formal Qualifications
a. Master or Engineering degree in Computer Science / Computer Applications
Knowledge
a. Requirement Analysis, technical architecture design
b. Application design and Application Programming
c. Database design and database programming
d. General knowledge of Telecommunication environment (Network, CRM, Billing)
Relevant Work Experience
a. 6-8 years of Windows, WEB and Database development experience.
Computer Literacy Skills
a. Programming in VB.Net, ASP.Net, C# (MVC design pattern)
b. Scripting Languages: VBScript, JavaScript, Node.js, ReactJs
c. Markup Languages: XML, HTML
d. RDBMS: Microsoft SQL Server 2016
e. Business Intelligence: Logi Analytics, Microsoft BIDS
f. Database programming (incl. stored procedures): T-SQL, PL-SQL
g. Application Development Tools: Microsoft Visual Studio (2013 and above)
h. ETL Processing: Microsoft SSIS
i. Content Management System: WordPress
j. Proficiency in MS-Excel
k. Conversant with the usage of application servers such as Microsoft IIS
l. Knowledge of REST SOAP, Web services
m. Knowledge of using API Gateways (Amazon, KONG, etc.)
Soft Skills (including behavioural and attitudes)
a. A team player with lots of logical and dynamic programming approach
b. A good problem solver.
c. A person with high adoptability on frequent change and enhancement requirements
d. Ability to work in a dynamic multi-cultural environment
Personal Data Protection Clause
By submitting your application, you consent to the use of your personal data, contained in this application and in any other documents that you may submit in connection with your application for employment (“the said documents”), for the purpose of appraising your suitability for employment and if unsuccessful, for the retention and use of your said personal data for the purpose of considering you for future vacancies for a period of six months from the date of this application. You hereby also undertake that you have obtained the consent of the persons whose personal data you have provided in the said documents that you may submit their personal data in connection with your application for the purposes indicated herein. You hereby also give consent for the referees that may be listed in this application to be contacted for the purpose of obtaining professional references to consider your suitability for employment.
For more information on the our PDPA policy, please visit https://www.bridgealliance.com/personal-data-protection-policy"
SAP ABAP Programmer,SAKSOFT PTE LIMITED,Jalan Besar,"We require SAP ABAP Programmer for our project with our Bank client in Singapore.
Requirement Detail:
Position: Developer (SAP ABAP)
No. of position: 1
Key Skills: SAP ABAP
JOB OBJECTIVE
We are presently seeking candidate for the position of ABAP developer function for the Financial Accounting/Procurement Systems, based upon SAP ECC6 platform.
KEY RESPONSIBILITIES
The SAP ABAP developer will be working as a member of the SAP development team and will be responsible for the delivery of ABAP programs based on technical specifications (and may be called upon to fill gaps in specifications with expert knowledge). The ABAP developer is expected to provide technical expertise for system design, testing, implementation and support.
Roles & responsibilities
• To provide input into the design of SAP enhancements and roll outs, offering advice and thoughts and providing feedback.
• To develop quality code and its associated documentation adhering to team and departmental development standards.
• To accurately log time for completed tasks.
• To provide SAP support including analysis, development, testing, tracking and resolution.
• To demonstrate a logical and structured approach to time management and task prioritization.
• To demonstrate high level of communication skills (verbal and written).
• To ensure current skills are up-to-date through research and practice.
• To participate in team activities and team planning with the aim of improving team skills, awareness and quality of work.
• To engage professionally with customers when required.
Key Requirements
• Bachelor's degree in Computer Science or related field.
• Good ABAP developing experience of working on a highly customized SAP system.
• Working knowledge of Control-M scheduling tool, and JIRA issue management tool is preferred.
• General PC knowledge including Microsoft Office with expert level knowledge of Excel, and working knowledge of MS Access.
• Experience with IT support of Financial Accounting and Procurement business functions is preferred.
• Capability of self-learning and a quick learner.
• Be adaptable, flexible and be able to thrive in a challenging, fast-paced and growing organization/environment.
• Good communication (written and oral) skills.
• Ability to network and influence others without direct oversight or supervision.
• Ability to develop and maintain productive working relationships with colleagues in distributed global locations.
Experience of:
• SAP workflow customization (must have)
• SAP REFX enhancement (preferred)
• Object Oriented programming
• Report writing using ALV and ABAP lists
• Sapscripts and smart forms
• Dialogue programming
• Interfaces
• BADIs/BAPIs
• User exits/enhancements
• BDCs
• Workflow
• WebDynpro
• LSMW"
CNC Programmer,Akribis Systems Pte Ltd,Ang Mo Kio,"
CAM programming for 3 axis, turn-milling, 5 axis simultaneous milling operations
Machines setting, tooling selection and process design
Proficient in design and programming software in Mastercam 2008-2021/X9
Continual improvement of process timing
Design of Jigs and fixture for production and machining sequence for complex feature
Perform CNC machine setup for First Article, including the optimization of each process
Develop inspection Procedure and cycle for new project
Analyses Data by completing hypothesis, normal distribution and process capability analysis test
Prepares reports by collecting, analysis and summarizing data; making recommendations
Support sales team on accurate of machining hours requirement.
Communication Skills: The ability to convey information to another effectively and efficiently

Qualifications

ITE/NITEC or Chinese technical school in machining/ Diploma / Advanced/ Higher
Experience id preferable to Diploma holder
At least 5 years of working experience in the related field is required for this position
Strong communication and analytical skills, team player, energetic and willing to work hard
Ability to prioritize and multi-task in a fast-paced environment
Responsible, Positive Attitude and able to work well as a team

Other Information
Job Highlights:

AWS 
OT Pay
Flexi Benefits
5-days work week (8.30am to 6pm)
"
Programmer,GLOBOTRON (S) PTE. LTD.,Kampong Ubi,"Key Role Responsibilities:

Maintain and develop efficient, reusable and flexible UI components using modern tools, and responsible for code integration into larger project context.
Experiment with new techniques and proofs of concept for improving code
Develop discrete, modular site structure and code, with a focus on reusability of code

Requirements:

Diploma or Bachelor's degree in Computer Science / Engineering, Computer Information Systems, Web Development or similar.
Experience as a Full Stack Developer before with relevant to UI / front-end /back-end development
Developed scalable and sustainable systems, with expertise in debugging technical issues
Proficient in Java and Elixir programming language is a must
Strong in interpersonal and communication skills
Able to work independently and in a team
Able to work under pressure
"
PHP Software Programmer / Developer,DL IDEAS PTE. LTD.,Kampong Ubi,"We are looking for a PHP software developer with up-to-date knowledge to develop customized software/web application, and be able to work independently without frequent supervision. You will work on a variety of products, including ERP, school management system, learning management system, project management system, B2B & B2C e-commerce solution etc. together with our programmer and designer team.

Attractive remuneration packages
Excellent career progression
Friendly environment

Responsibilities:

Develop feasible web application /system accordingly to requirements, troubleshooting and debugging when requested.
Design backend database structures for the web applications.
Writing high quality, clean and concise codebase that is highly efficient, scalable, easily portable, and maintainable.
Test systems on different web browsers and platforms to ensure a quality user experience for the clients.
Software design and optimization, able to provide technical advice & solution to improve software quality, research and development to bring system/software product to the next level.
Document and maintain knowledge through code, code comments, diagrams, flowcharts, layouts, and other technical documentation in written form for the purpose of knowledge retention and transfer.

Requirements:

At least a Diploma/Degree in Information Technology / Computer Science or relevant field.

Required skills for PHP programmer: Laravel /Lumen/ CodeIgniter framework

Proficiency in REST API, SOAP, JSON and WebSocket.
Knowledge of MySQL database to ensure strong optimization and functionality.
Strong logic thinking, analytical skills and good problem-solving skill.
Able to work as team player to achieve assigned task within the deadline.
Matured personality and able to work independently as well as in a team with a can-do working attitude.
Preferably 2 years of working experience in the related field
Experience in Mobile App development (Ionic/React Native), Microservices Architecture, System Security gives as advantage.

Rewards & Benefits

Friendly and relaxed working environment
Remuneration: attractive salary package (Negotiable based on experience)
5 days work week
Reward will be given based on performance

We are a result-orientated company. To us, deliver work on time and accurately is the most important key to value an employee. We are looking for energetic and committed personnel who are self-motivated and willing to learn. We want the employees to grow together with the company.
IF you would like to apply for this position, please kindly send your CV with the following info to ***@dlideas.com:

Reason for leaving your current job
Last drawn salary and expected salary
Notice period
"
software Developer,OXPAY SG PTE. LTD.,Kampong Ubi,"Software Developer
Work Hours and Schedule: SINGAPORE TIME ZONE
Employment Status: FULL TIME
Qualifications:
● 3 years of experience in Java, Spring, MySQL, MSSQL, MyBatis, Hiberate development.
● Good knowledge of web services, network protocols, and common data-interchange formats (HTTPS, Socket, JSON, XML).
● Able to communicate fluently in English is a MUST.
Experience on the following:
● Experience in using IntelliJ IDEA or Eclipse, Docker, Jenkins, Gitlab, Logfaces, AWS and G-Suite.
● Experience with agile development and working with a distributed team will be an added advantage.
● Knowledge of encryption, hashing and key exchange standards.
● Experience in the payment industry, understand PCI-DSS would be an added advantage
Duties and responsibilities
● Designing and developing high-volume, low-latency applications for mission-critical systems and delivering high-availability and performance
● Integrates applications by designing database architecture and server scripting, studying and establishing connectivity with network systems, search engines, and information servers.
● Completes applications development by coordinating requirements, schedules, and activities; contributing to team meetings; troubleshooting development and production problems across multiple environments and operating platforms.
● Updates job knowledge by researching new internet/intranet technologies and software products; participating in educational opportunities; reading professional publications; maintaining personal networks; participating in professional organizations.
● Contributing to all phases of the development lifecycle
● Prepare and produce releases of software components
● Support continuous improvement by investigating alternatives and technologies and presenting these for architectural review
● Conducting software analysis, programming, unit testing, and debugging
● Managing Java and Java EE application development"
CNC Programmer,Akribis Systems,Ang Mo Kio,"Company

Akribis Systems
staffondemand.sg

Designation
CNC Programmer
Date Listed
02 Mar 2022
Job Type

Entry Level / Junior Executive
Full/Perm

Job Period
Flexible Start - Flexible End
Profession

 Engineering
Industry

 Environmental Services
Location Name
5012 Ang Mo Kio Avenue 5, Techplace II, Singapore 569876, Singapore
Address
5012 Ang Mo Kio Ave 5, Singapore 569876
Map

Allowance / Remuneration
$800 - 1,500 monthly

Company Profile

Founded in Singapore in 2004, Akribis Systems is a motion control company that provides high precision direct drive motors. We construct products for a range of industries including renewable energy, semiconductor, communication, biomedical, robotics or any industry that requires precise motion.
We produce direct drive motors with a high force density and patented coil design that decreases cogging. Our linear and rotary motors also are available with stages that we manufacture ourselves so you can smoothly integrate the motor into your design.
More than simply a manufacturer, we are also innovators. Our deep knowledge of engineering and dedication to the work has resulted in 44 patents, and our research and development into the field of magnetics will only continue to grow our business. Our engineers are able to custom design motors and stages to your specific requirements with you as a co-developer.
Today, we have two production factories and numerous sales and support offices across the globe. At Akribis Systems, precision matters.

Job Description


CAM programming for 3 axis, turn-milling, 5 axis simultaneous milling operations
Machines setting, tooling selection and process design
Proficient in design and programming software in Mastercam 2008-2021/X9
Continual improvement of process timing
Design of Jigs and fixture for production and machining sequence for complex feature
Perform CNC machine setup for First Article, including the optimization of each process
Develop inspection Procedure and cycle for new project
Analyses Data by completing hypothesis, normal distribution and process capability analysis test
Prepares reports by collecting, analysis and summarizing data; making recommendations
Support sales team on accurate of machining hours requirement.
Communication Skills: The ability to convey information to another effectively and efficiently

Qualifications

ITE/NITEC or Chinese technical school in machining/ Diploma / Advanced/ Higher
Experience id preferable to Diploma holder
At least 5 years of working experience in the related field is required for this position
Strong communication and analytical skills, team player, energetic and willing to work hard
Ability to prioritize and multi-task in a fast-paced environment
Responsible, Positive Attitude and able to work well as a team

Other Information
Job Highlights:

AWS 
OT Pay
Flexi Benefits
5-days work week (8.30am to 6pm)


Application Instructions

Please kindly submit your application here: https://akribis-sys.recruiterpal.com/career/jobs/9v7rp
Kindly note that only applications submitted via the given job link will be considered. We regret that only shortlisted applicants will be notified

Apply for this position"
